status,category,relative_folder,image_count,product_id,product_code,product_name,confidence,files
"matched","Digital Paper Printing","Digital Paper Printing\LETTER HEAD PAPER","1","e7a629e1-637c-45de-91dd-78807f665442","LETTER-H-184","LETTER HEAD PAPER","1.000","download.jpg"
"matched","Digital Paper Printing","Digital Paper Printing\ART PAPER","1","27c52af0-e82b-4e0e-9332-8a114c8f2422","ART-PAPE-560","ART PAPER","1.000","download.jpg"
"matched","Visiting Card","Visiting Card\Regular Visting Card\Gloss Coated\Gloss UV Coated","3","faf6701c-af91-44a5-b38a-04431e782033","GAR-GLS-001","Gloss Coated Tag","0.960","1.jpg | 2.jpg | 3.jpg"
"matched","Visiting Card","Visiting Card\800 GSM visiting cards\800 GSM + Matt\800 GSM + Matt + UV + Foil","2","099d0091-a345-4288-a9d4-1612c1e4a397","VIS-800-001","800 GSM + Velvet","0.900","images_product-images_327_800 GSM Box New.jpg | images_product-images_327_Matt 800 Gold.jpg"
"matched","Visiting Card","Visiting Card\800 GSM visiting cards\800 GSM + Craft Paper\800 GSM CraftSheet + Foil","3","099d0091-a345-4288-a9d4-1612c1e4a397","VIS-800-001","800 GSM + Velvet","0.900","images_product-images_330_Craft A2 Pho.jpg | images_product-images_330_Craft B Pho.jpg | images_product-images_330_Craft C Pho.jpg"
"matched","Visiting Card","Visiting Card\Metal Cards","4","c7e58c17-61b9-4d72-bfc4-65875848d88f","VIS-MET-001","Metal Card","0.880","images_product-images_324_Photoshop Metal A.jpg | images_product-images_324_Photoshop Metal B.jpg | images_product-images_324_Photoshop Metal C.jpg | images_product-images_324_Photoshop Metal D.jpg"
"matched","Visiting Card","Visiting Card\800 GSM visiting cards\800 GSM + Matt\800 GSM + Matt + UV + Foil + Die Cut","2","b3b3e539-23df-45f7-8df6-4b376793c9b8","VIS-800-MATTE","800 GSM + Matte","0.880","images_product-images_273_36 All Die Cut Img B.jpg | images_product-images_273_800 GSM Box New.jpg"
"matched","Sample Files","Sample Files\VISITING CARD\Sample File – Metal Cards Only","1","c7e58c17-61b9-4d72-bfc4-65875848d88f","VIS-MET-001","Metal Card","0.880","download.png"
"matched","Sample Files","Sample Files\VISITING CARD\Complete Sample File (Metal Cards + 800GSM + 500GSM + NT + Regular Cards + Marketing Posters","2","c7e58c17-61b9-4d72-bfc4-65875848d88f","VIS-MET-001","Metal Card","0.880","1.png | 2.png"
"matched","Sample Files","Sample Files\LETTER HEAD","1","e7a629e1-637c-45de-91dd-78807f665442","LETTER-H-184","LETTER HEAD PAPER","0.880","download.jpg"
"matched","Pamplet-Posters","Pamplet-Posters","1","70232a92-df54-40bb-a2e2-fbf5599f444d","PAMPHLET-810","POSTERS","0.880","Pamphlet-Posters.jpg"
